# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
frechet_cdf_log;(reals y, reals alpha, reals sigma);real;384
frechet_cdf;(reals y, reals alpha, reals sigma);real;384
frechet_log;(reals y, reals alpha, reals sigma);real;384
frechet;~;real;384
frechet_rng;(real alpha, real sigma);real;384
gamma_ccdf_log;(reals y, reals alpha, reals beta);real;382
gamma_cdf_log;(reals y, reals alpha, reals beta);real;381
gamma_cdf;(reals y, reals alpha, reals beta);real;381
gamma_log;(reals y, reals alpha, reals beta);real;381
gamma_p;(real a, real z);real;312
gamma_q;(real a, real z);real;313
gamma;~;real;381
gamma_rng;(real alpha, real beta);real;382
gaussian_dlm_obs_log;(matrix y, matrix F, matrix G, matrix V matrix W, vector m0, matrix C0);real;400
gaussian_dlm_obs_log;(matrix y, matrix F, matrix G, vector V matrix W, vector m0, matrix C0);real;400
gaussian_dlm_obs;~;real;399
get_lp;();real;297
gumbel_ccdf_log;(reals y, reals mu, reals beta);real;376
gumbel_cdf_log;(reals y, reals mu, reals beta);real;376
gumbel_cdf;(reals y, reals mu, reals beta);real;376
gumbel_log;(reals y, reals mu, reals beta);real;376
gumbel;~;real;375
gumbel_rng;(real mu, real beta);real;376
head;(row_vector rv, int n);row_vector;337
head;(T[] sv, int n);T[];337
head;(vector v, int n);vector;336
hypergeometric_log;(int n, int N, int a, int b);real;359
hypergeometric;~;real;359
hypergeometric_rng;(int N, real a, real b);int;359
hypot;(real x, real y);real;307
if_else;(int cond, real x, real y);real;300
increment_log_prob;(T lp);void;292
int_step;(int x);int;295
int_step;(real x);int;295
inv_chi_square_ccdf_log;(reals y, reals nu);real;379
inv_chi_square_cdf_log;(reals y, reals nu);real;379
inv_chi_square_cdf;(reals y, reals nu);real;379
inv_chi_square_log;(reals y, reals nu);real;379
inv_chi_square;~;real;379
inv_chi_square_rng;(real nu);real;379
inv_cloglog;(real y);real;309
inverse;(matrix A);matrix;341
inverse_spd;(matrix A);matrix;341
inv_gamma_ccdf_log;(reals y, reals alpha, reals beta);real;382
inv_gamma_cdf_log;(reals y, reals alpha, reals beta);real;382
inv_gamma_cdf;(reals y, reals alpha, reals beta);real;382
inv_gamma_log;(reals y, reals alpha, reals beta);real;382
inv_gamma;~;real;382
inv_gamma_rng;(real alpha, real beta);real;382
inv_logit;(real y);real;309
inv_phi;(real p);real;310
inv;(real x);real;306
inv_sqrt;(real x);real;306
inv_square;(real x);real;306
inv_wishart_log;(matrix W, real nu, matrix Sigma);real;406
inv_wishart;~;real;406
inv_wishart_rng;(real nu, matrix Sigma);matrix;406
is_inf;(real x);int;301
is_nan;(real x);int;301
lbeta;(real alpha, real beta);real;311
lgamma;(real x);real;312
lkj_corr_cholesky_log;(matrix L, real eta);real;404
lkj_corr_cholesky;~;real;404
lkj_corr_cholesky_rng;(int K, real eta);matrix;404
lkj_corr_log;(matrix y, real eta);real;403
lkj_corr;~;real;402
lkj_corr_rng;(int K, real eta);matrix;403
lmgamma;(int n, real x);real;312
log10;();real;296
log10;(real x);real;306
log1m_exp;(real x);real;316
log1m_inv_logit;(real x);real;317
log1m;(real x);real;316
log1p_exp;(real x);real;316
log1p;(real x);real;316
log2;();real;296
log2;(real x);real;306
log_determinant;(matrix A);real;341
log_diff_exp;(real x, real y);real;316
log_falling_factorial;(real x, real n);real;314
log_inv_logit;(real x);real;317
logistic_ccdf_log;(reals y, reals mu, reals sigma);real;375
logistic_cdf_log;(reals y, reals mu, reals sigma);real;375
logistic_cdf;(reals y, reals mu, reals sigma);real;375
logistic_log;(reals y, reals mu, reals sigma);real;375
logistic;~;real;375
logistic_rng;(real mu, real sigma);real;375
logit;(real x);real;309
log;(matrix x);matrix;330
log_mix;(real theta, real lp1, real lp2);real;317
lognormal_ccdf_log;(reals y, reals mu, reals sigma);real;377
lognormal_cdf_log;(reals y, reals mu, reals sigma);real;377
lognormal_cdf;(reals y, reals mu, reals sigma);real;377
lognormal_log;(reals y, reals mu, reals sigma);real;377
lognormal;~;real;377
lognormal_rng;(real mu, real beta);real;377
log;(real x);real;305
log_rising_factorial;(real x, real n);real;315
log;(row_vector x);row_vector;329
log_softmax;(vector x);vector;339
log_sum_exp;(matrix x);real;333
log_sum_exp;(real x[]);real;319
log_sum_exp;(real x, real y);real;317
log_sum_exp;(row_vector x);real;333
log_sum_exp;(vector x);real;333
log;(vector x);vector;329
machine_precision;();real;296
max;(int x[]);int;318
max;(int x, int y);int;295
max;(matrix x);real;333
max;(real x[]);real;318
max;(row_vector x);real;333
max;(vector x);real;333
mdivide_left_tri_low;(matrix A, matrix B);matrix;340
mdivide_left_tri_low;(matrix A, vector B);vector;340
mdivide_right_tri_low;(matrix B, matrix A);matrix;340
mdivide_right_tri_low;(row_vector B, matrix A);row_vector;340
mean;(matrix x);real;334
mean;(real x[]);real;319
mean;(row_vector x);real;334
mean;(vector x);real;334
min;(int x[]);int;318
min;(int x, int y);int;295
min;(matrix x);real;333
min;(real x[]);real;318
min;(row_vector x);real;333
min;(vector x);real;333
modified_bessel_first_kind;(int v, real z);real;314
modified_bessel_second_kind;(int v, real z);real;314
multi_gp_cholesky_log;(matrix y, matrix L, vector w);real;398
multi_gp_cholesky;~;real;398
multi_gp_log;(matrix y, matrix Sigma, vector w);real;397
multi_gp;~;real;397
multinomial_log;(int[] y, vector theta);real;367
multinomial;~;real;367
multinomial_rng;(vector theta, int N);int[];367
multi_normal_cholesky_log;(row_vectors y, row_vectors mu, matrix L);real;396
multi_normal_cholesky_log;(row_vectors y, vectors mu, matrix L);real;396
multi_normal_cholesky_log;(vectors y, row_vectors mu, matrix L);real;396
multi_normal_cholesky_log;(vectors y, vectors mu, matrix L);real;396
multi_normal_cholesky;~;real;396
multi_normal_cholesky_rng;(vector mu, matrix L);vector;396
multi_normal_log;(row_vectors y, row_vectors mu, matrix Sigma);real;395
multi_normal_log;(row_vectors y, vectors mu, matrix Sigma);real;394
multi_normal_log;(vectors y, row_vectors mu, matrix Sigma);real;394
multi_normal_log;(vectors y, vectors mu, matrix Sigma);real;394
multi_normal_prec_log;(row_vectors y, row_vectors mu, matrix Omega);real;395
multi_normal_prec_log;(row_vectors y, vectors mu, matrix Omega);real;395
multi_normal_prec_log;(vectors y, row_vectors mu, matrix Omega);real;395
multi_normal_prec_log;(vectors y, vectors mu, matrix Omega);real;395
multi_normal_prec;~;real;395
multi_normal;~;real;394
multi_normal_rng;(vector mu, matrix Sigma);vector;395
multiply_log;(real x, real y);real;315
multiply_lower_tri_self_transpose;(matrix x);matrix;332
multi_student_t_log;(row_vectors y, real nu, row_vectors mu, matrix Sigma);real;399
multi_student_t_log;(row_vectors y, real nu, vectors mu, matrix Sigma);real;399
multi_student_t_log;(vectors y, real nu, row_vectors mu, matrix Sigma);real;398
multi_student_t_log;(vectors y, real nu, vectors mu, matrix Sigma);real;398
multi_student_t;~;real;398
multi_student_t_rng;(real nu, vector mu, matrix Sigma);vector;399
negative_infinity;();real;296
neg_binomial_2_ccdf_log;(ints n, reals mu, reals phi);real;364
neg_binomial_2_cdf;(ints n, reals mu, reals phi);real;364
neg_binomial_2_cdf_log;(ints n, reals mu, reals phi);real;364
neg_binomial_2_log;(ints y, reals mu, reals phi);real;363
neg_binomial_2_log_log;(ints y, reals eta, reals phi);real;364
neg_binomial_2_log;~;real;364
neg_binomial_2_log_rng;(real eta, real phi);int;365
neg_binomial_2;~;real;363
neg_binomial_2_rng;(real mu, real phi);int;364
neg_binomial_ccdf_log;(ints n, reals alpha, reals beta);real;363
neg_binomial_cdf;(ints n, reals alpha, reals beta);real;362
neg_binomial_cdf_log;(ints n, reals alpha, reals beta);real;362
neg_binomial_log;(ints n, reals alpha, reals beta);real;362
neg_binomial;~;real;362
neg_binomial_rng;(real alpha, real beta);int;363
normal_ccdf_log;(reals y, reals mu, reals sigma);real;369
normal_cdf_log;(reals y, reals mu, reals sigma);real;369
normal_cdf;(reals y, reals mu, reals sigma);real;369
normal_log;(reals y, reals mu, reals sigma);real;369
normal;~;real;369
normal_rng;(real mu, real sigma);real;369
not_a_number;();real;296
num_elements;(matrix x);int;325
num_elements;(row_vector x);int;325
num_elements;(T[] x);int;321
num_elements;(vector x);int;325
operator-;(int x);int;294
operator+;(int x);int;294
operator!;(int x);int;299
operator-;(int x, int y);int;294
operator/;(int x, int y);int;294
operator*;(int x, int y);int;294
operator+;(int x, int y);int;294
operator<;(int x, int y);int;297
operator<=;(int x, int y);int;298
operator==;(int x, int y);int;298
operator>=;(int x, int y);int;298
operator>;(int x, int y);int;298
operator!=;(int x, int y);int;298
operator||;(int x, int y);int;299
operator&&;(int x, int y);int;299
operator\;(matrix A, matrix B);matrix;340
operator\;(matrix A, vector b);vector;340
operator/;(matrix B, matrix A);matrix;340
operator-;(matrix x);matrix;326
operator';(matrix x);matrix;329
operator-;(matrix x, matrix y);matrix;326
operator+;(matrix x, matrix y);matrix;326
operator*;(matrix x, matrix y);matrix;327
operator.*;(matrix x, matrix y);matrix;328
operator./;(matrix x, matrix y);matrix;329
operator*;(matrix x, real y);matrix;327
operator+;(matrix x, real y);matrix;327
operator-;(matrix x, real y);matrix;328
operator/;(matrix x, real y);matrix;328
operator./;(matrix x, real y);matrix;329
operator*;(matrix x, vector y);vector;327
operator!;(real x);int;299
operator*;(real x, matrix y);matrix;326
operator+;(real x, matrix y);matrix;327
operator-;(real x, matrix y);matrix;328
operator./;(real x, matrix y);matrix;329
operator-;(real x);real;302
operator+;(real x);real;302
operator<=;(real x, real y);int;298
operator<;(real x, real y);int;298
operator==;(real x, real y);int;298
operator>=;(real x, real y);int;298
operator>;(real x, real y);int;298
operator!=;(real x, real y);int;298
operator||;(real x, real y);int;299
operator&&;(real x, real y);int;299
operator-;(real x, real y);real;301
operator*;(real x, real y);real;301
operator+;(real x, real y);real;301
operator^;(real x, real y);real;302
operator/;(real x, real y);real;302
operator*;(real x, row_vector y);row_vector;326
operator+;(real x, row_vector y);row_vector;327
operator-;(real x, row_vector y);row_vector;328
operator./;(real x, row_vector y);row_vector;329
operator*;(real x, vector y);vector;326
operator+;(real x, vector y);vector;327
operator-;(real x, vector y);vector;328
operator./;(real x, vector y);vector;328
operator/;(row_vector b, matrix A);row_vector;340
operator*;(row_vector x, matrix y);row_vector;327
operator*;(row_vector x, real y);row_vector;327
operator+;(row_vector x, real y);row_vector;327
operator-;(row_vector x, real y);row_vector;328
operator/;(row_vector x, real y);row_vector;328
operator./;(row_vector x, real y);row_vector;329
operator-;(row_vector x);row_vector;326
operator-;(row_vector x, row_vector y);row_vector;326
operator+;(row_vector x, row_vector y);row_vector;326
operator.*;(row_vector x, row_vector y);row_vector;328
operator./;(row_vector x, row_vector y);row_vector;329
operator';(row_vector x);vector;329
