# Samples Generated by Stan
# stan_version_major=1
# stan_version_minor=3
# stan_version_patch=0
# init=random
# append_samples=0
# seed=1405435606
# chain_id=2
# chain_id_src=user
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# equal_step_sizes=0
# epsilon_pm=0
# delta=0.5
# gamma=0.05
# nondiag_mass=0
# sample_file=./rstan_doc_ex_2.csv
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-15.8632,2.67857e-10,1.91463,0,0.0576269,1.0299,-0.274545,-0.892555,1.19687,1.45867,0.056871,-0.870222,0.24167
-16.8348,0.828323,0.377665,2,0.172984,1.151,-0.409219,-2.31707,0.857846,0.83381,-0.0543315,-0.534021,0.284958
-15.0328,1,0.730605,1,0.375721,1.30531,-0.5718,-0.0387579,0.00793426,-0.588393,-0.315041,1.08933,0.33767
-15.0328,2.46773e-76,2.8235,0,0.375721,1.30531,-0.5718,-0.0387579,0.00793426,-0.588393,-0.315041,1.08933,0.33767
-14.5975,0.926014,0.581232,2,-0.143139,1.11119,0.23324,0.0952253,-0.105049,0.541826,0.263897,-1.05112,1.04889
-14.5975,4.8786e-13,2.06822,0,-0.143139,1.11119,0.23324,0.0952253,-0.105049,0.541826,0.263897,-1.05112,1.04889
-16.5311,0.91816,0.42087,2,-0.0130675,1.06442,0.307533,0.601063,-1.12638,-0.361784,1.34559,-1.77974,0.580293
-16.5311,2.08166e-06,1.54801,2,-0.0130675,1.06442,0.307533,0.601063,-1.12638,-0.361784,1.34559,-1.77974,0.580293
-24.4816,0.917553,0.317413,2,0.575292,1.21239,2.40044,1.26326,2.71476,1.82596,-0.742807,0.004122,0.160115
-19.4346,1,1.19236,1,-0.259014,1.05549,-0.0350324,-1.25443,-2.15134,-0.922731,1.84778,0.262878,0.451473
-19.4346,0,5.80466,-1,-0.259014,1.05549,-0.0350324,-1.25443,-2.15134,-0.922731,1.84778,0.262878,0.451473
-17.2368,0.520507,1.2165,1,0.101354,1.32256,-0.0901754,1.32352,0.423562,1.00622,-1.1508,-1.68079,0.340767
-14.563,0.700281,1.31607,1,-0.170643,1.14524,-0.00826405,-0.888395,-0.130449,0.299442,0.32783,-0.920424,0.672049
-14.563,1.00114e-26,2.48834,0,-0.170643,1.14524,-0.00826405,-0.888395,-0.130449,0.299442,0.32783,-0.920424,0.672049
-19.6051,0.759037,0.541603,2,-0.23944,0.874512,0.82086,-1.205,1.67391,-1.50746,-0.232953,-0.910138,0.471789
-14.7576,1,1.226,0,-0.0183602,1.1098,0.319115,0.443926,1.30897,-0.47716,-0.238414,-0.28162,0.157899
-14.7576,0,5.69582,-1,-0.0183602,1.1098,0.319115,0.443926,1.30897,-0.47716,-0.238414,-0.28162,0.157899
-16.3469,0.619891,1.27864,1,-0.0629241,1.21878,0.0779102,-0.463345,-1.85407,-0.404284,1.36251,0.264699,0.735664
-16.3469,2.08388e-09,1.86804,1,-0.0629241,1.21878,0.0779102,-0.463345,-1.85407,-0.404284,1.36251,0.264699,0.735664
-18.8991,0.923965,0.434081,2,0.068882,1.4844,-0.478675,-0.617741,-2.41521,-0.104012,1.52139,0.000379026,0.429496
-18.6628,0.684852,1.55227,1,0.284902,0.842435,-0.904589,0.748101,-0.651382,-1.13986,1.03216,-0.679523,0.0506041
-18.6628,4.78329e-29,2.71218,0,0.284902,0.842435,-0.904589,0.748101,-0.651382,-1.13986,1.03216,-0.679523,0.0506041
-20.5808,0.975532,0.652417,1,-0.00203171,1.39557,-0.741278,0.252616,0.410272,2.41194,-2.19368,-0.311362,0.103638
-20.5808,1.52663e-70,2.61122,0,-0.00203171,1.39557,-0.741278,0.252616,0.410272,2.41194,-2.19368,-0.311362,0.103638
-18.2845,1,0.643893,2,0.429654,1.24812,0.787172,0.0813348,0.899687,0.395073,-2.42048,0.30029,0.147877
-18.2845,1.25292e-65,2.6975,0,0.429654,1.24812,0.787172,0.0813348,0.899687,0.395073,-2.42048,0.30029,0.147877
-16.2431,0.995567,0.680966,1,0.354061,1.02476,-0.0444848,0.000816638,0.912473,-0.908696,-1.18725,0.227932,0.077187
-16.2431,0,2.75031,0,0.354061,1.02476,-0.0444848,0.000816638,0.912473,-0.908696,-1.18725,0.227932,0.077187
-19.4343,0.878431,0.71032,2,0.1879,1.15753,1.53352,0.00627465,1.80326,-1.0643,0.852256,-1.38431,0.0385068
-19.4343,1.79333e-07,2.03884,1,0.1879,1.15753,1.53352,0.00627465,1.80326,-1.0643,0.852256,-1.38431,0.0385068
-18.6371,0.999483,0.539696,2,0.163555,1.04514,-2.67417,0.064709,-0.0007701,1.54809,-0.271482,0.689776,0.142451
-18.6371,4.00624e-14,2.1089,0,0.163555,1.04514,-2.67417,0.064709,-0.0007701,1.54809,-0.271482,0.689776,0.142451
-17.3318,0.866335,0.570108,2,0.183539,1.69974,0.445871,-0.616105,-0.787229,-1.11399,0.353607,-0.539841,0.467668
-21.5547,5.43528e-05,1.53517,1,0.347455,1.00271,-1.15895,0.359525,-0.886686,-1.41027,1.00931,-2.78512,0.0544809
