# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=0
# stan_version_patch=1
# init=random
# seed=202728319
# chain_id=3
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.65
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-21.4615,0.960567,0.367754,3,0.333803,0.929269,-1.46287,2.79252,0.874504,-1.37854,-0.254374,-1.32646,0.30104
-19.466,1,0.700028,2,-0.00660118,1.57951,0.803906,-2.05088,-1.01715,-0.0975602,1.00995,1.01521,1.04838
-18.7069,0.0347605,1.76496,1,0.124125,1.3901,-0.271135,-1.2994,-0.796379,2.53984,-0.330056,0.277192,0.915577
-17.7122,0.953633,0.255548,3,0.157052,1.35882,-0.514815,-1.05835,-0.458923,2.48093,-0.187498,0.083404,0.486231
-19.7092,0.924977,0.61802,2,0.482818,1.24629,0.501899,-0.314273,0.966995,2.15878,1.2466,-0.844696,0.052205
-19.7092,0.589104,1.42672,1,0.482818,1.24629,0.501899,-0.314273,0.966995,2.15878,1.2466,-0.844696,0.052205
-20.0507,1,1.1657,1,-0.43195,1.07188,1.26612,-0.802514,-1.36465,-1.23782,-0.144007,1.6157,1.14221
-20.0507,0,3.51499,0,-0.43195,1.07188,1.26612,-0.802514,-1.36465,-1.23782,-0.144007,1.6157,1.14221
-20.1694,0.960404,0.45165,2,0.509592,1.25086,-0.959866,1.67168,1.38256,-0.0951457,0.612456,-1.59521,0.0445307
-18.0301,9.88478e-08,1.21192,1,-0.040383,1.13952,0.752973,1.8169,2.08046,-0.113476,1.16687,0.0870643,0.336023
-16.2702,0.999676,0.159442,3,0.0142343,0.993767,-0.199319,-0.0755861,-1.60533,0.837018,0.982849,0.397252,0.0982336
-15.6116,0.995857,0.485461,2,0.175426,1.10559,0.196968,0.241776,1.7713,0.0789025,-0.455974,-0.294867,1.4352
-15.6116,0.0123082,1.44551,0,0.175426,1.10559,0.196968,0.241776,1.7713,0.0789025,-0.455974,-0.294867,1.4352
-15.9096,0.999029,0.20602,3,0.0480597,0.88098,-0.0162486,0.550693,-0.254603,1.15544,-0.373018,-0.660149,0.105783
-19.84,0.891663,0.615979,2,0.142937,1.20524,-0.296222,0.704365,1.60317,-0.0143188,-1.86932,0.491873,0.00747595
-16.8592,2.09599e-18,1.30993,1,-0.0332349,1.07849,0.313406,1.95522,-1.7152,-0.552046,-0.124299,-0.215971,0.771916
-15.6491,0.997233,0.188787,3,-0.0696942,1.02441,-0.334145,1.70749,-0.895573,-0.739323,0.0538104,0.510701,0.50814
-18.0256,0.814518,0.549541,2,0.0543379,1.13072,-0.389551,1.83379,1.79454,-1.32604,-0.498389,-1.06437,0.7043
-17.0309,0.805902,0.91628,1,0.096285,0.914806,0.347229,-0.550171,-1.30959,0.936644,-0.599083,1.78471,0.29262
-16.9704,0.241199,1.47756,2,-0.0176902,0.922711,0.381795,-0.6952,0.828314,-2.01698,-0.293892,0.200395,0.153861
-15.7253,1,0.457974,2,-0.0821991,0.936478,-0.00552496,-0.344061,0.131895,-0.75276,-0.638404,0.637975,0.068437
-15.7253,0.156119,1.28994,1,-0.0821991,0.936478,-0.00552496,-0.344061,0.131895,-0.75276,-0.638404,0.637975,0.068437
-17.0258,0.978396,0.32033,3,0.181315,1.1874,-0.418847,1.8861,-1.08036,-1.00711,0.457103,-0.582989,1.29083
-14.4713,1,0.83678,1,-0.0370731,1.10177,-0.106906,0.72838,0.912868,-1.01796,0.0518594,0.0663193,0.290585
-14.4713,0,2.28537,-1,-0.0370731,1.10177,-0.106906,0.72838,0.912868,-1.01796,0.0518594,0.0663193,0.290585
-18.7612,0.909516,0.378834,2,0.325427,1.194,0.817952,-1.56669,-0.954347,-1.04914,1.10939,1.8773,1.02322
-19.7948,0.985668,0.797794,2,0.0942433,1.44474,-0.494427,-0.181928,1.02953,1.49729,-1.83473,-1.83113,0.180557
-19.7948,3.32412e-21,2.04421,1,0.0942433,1.44474,-0.494427,-0.181928,1.02953,1.49729,-1.83473,-1.83113,0.180557
-21.637,1,0.354632,2,-0.103827,1.46205,-0.369887,0.385698,-0.296567,1.71314,-2.16014,-2.09705,0.0907327
-17.2979,1,0.936185,1,0.241203,0.91221,0.37467,0.500466,-0.0160251,-0.487222,0.241397,1.83472,1.84408
-17.2979,2.53041e-168,2.4327,0,0.241203,0.91221,0.37467,0.500466,-0.0160251,-0.487222,0.241397,1.83472,1.84408
-20.9863,0.863025,0.439613,2,0.435465,1.0174,0.583013,0.147728,-0.297055,-1.47219,0.607508,-2.91353,0.0705146
-19.7504,1,0.789506,2,-0.25165,1.34419,0.756326,0.267674,0.229827,0.266624,0.0287016,2.80518,0.0776717
-16.4038,1.80229e-13,2.00814,1,0.150727,1.10982,-2.17091,1.13877,0.840893,-0.0637276,-0.143334,-0.23305,0.521313
-16.0488,0.982531,0.378241,2,-0.0366892,1.07989,-0.886925,0.659841,0.864436,-0.041109,1.06449,-1.64359,0.546262
-19.3827,0.580602,0.911748,1,0.1881,0.909868,1.44308,1.02463,1.57341,0.23442,-0.676326,1.07063,0.0266713
-17.1304,0.00241911,0.778378,2,-0.22782,1.00869,-0.535,1.19915,-0.844507,0.566955,0.184276,1.5291,1.09559
-15.7183,0.998204,0.154264,4,-0.0821242,1.20131,0.57769,-0.538103,0.922643,0.937484,0.914618,-0.466861,0.126358
-17.5057,0.980628,0.381659,3,0.105675,1.04228,0.194899,1.55034,-0.560023,-0.788037,-0.718084,0.653708,0.0185536
-20.4731,0.44653,0.891711,1,-0.155865,1.16798,-0.796952,0.211981,-1.59062,2.231,0.144273,0.100251,0.0113221
-21.7216,0.650001,0.548785,2,-0.139293,1.29056,-0.532827,0.700717,-1.45264,2.27451,-0.534188,-0.473925,0.00501108
-19.1806,0.811814,0.560614,2,-0.233332,1.36468,0.586132,-1.75764,0.436493,0.619766,0.413522,1.50648,0.0435615
-15.9537,0.126672,0.849521,1,0.196362,0.982622,-0.577291,0.156901,-1.44881,-0.34955,-1.15717,0.406008,0.126786
-16.8095,0.994401,0.243423,3,0.0321533,1.11159,0.573629,-1.39,1.09209,0.129942,1.62022,-0.687372,1.17927
-15.5249,0.964781,0.572185,2,-0.15091,1.18634,-0.573151,-0.599572,-1.07006,0.434885,-0.829635,0.258252,0.136321
-19.9158,0.4369,1.23836,1,0.0438531,1.36791,2.33934,-0.908935,1.05951,1.20721,0.0335374,-1.7742,0.372208
-18.821,0.993233,0.757845,2,0.0343967,1.50497,-1.97068,0.996369,-1.10784,0.128456,0.6866,-1.32346,0.444449
