# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=0
# stan_version_patch=1
# init=random
# seed=202728319
# chain_id=1
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.65
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-22.011,0.5,0.5,0,0.976147,1.76253,0.463249,0.277477,0.010561,0.18961,-1.73749,-1.04721,1.59065
-22.011,0,7.613,-1,0.976147,1.76253,0.463249,0.277477,0.010561,0.18961,-1.73749,-1.04721,1.59065
-22.011,0,1.51735,-1,0.976147,1.76253,0.463249,0.277477,0.010561,0.18961,-1.73749,-1.04721,1.59065
-18.298,0.246849,0.20988,3,-0.116086,0.796188,0.434823,-0.204664,-0.20554,0.26905,-1.7109,-0.953412,0.828439
-16.5688,0.999075,0.0501804,5,0.150003,1.46621,-0.42438,-0.178829,-0.0890181,-0.571954,1.77722,0.603667,0.285052
-18.531,0.99817,0.112849,4,0.382612,1.30922,-0.257074,0.380816,1.74034,-0.846685,1.45176,1.06474,1.50648
-16.0828,0.201435,0.290359,3,0.275272,1.20985,-0.0389945,-0.52931,-0.78517,0.694762,0.0694031,1.16966,0.0548186
-14.2041,0.994831,0.0677746,4,0.363188,1.11193,0.522059,-0.267185,0.87847,-0.11289,0.059703,-0.41964,0.566601
-14.0232,0.978366,0.190886,3,0.340929,1.25045,-0.137678,0.271416,-0.191829,0.183276,-0.715871,-0.0119332,0.529264
-14.0232,3.5661e-05,0.5282,0,0.340929,1.25045,-0.137678,0.271416,-0.191829,0.183276,-0.715871,-0.0119332,0.529264
-15.1166,0.391659,1.07773,2,-0.228138,1.22178,0.239145,-0.237946,0.406157,0.162224,-0.59337,1.21795,0.305236
-15.1166,0,6.7378,-1,-0.228138,1.22178,0.239145,-0.237946,0.406157,0.162224,-0.59337,1.21795,0.305236
-15.4243,0.00174569,1.26676,2,0.362048,1.02125,0.497094,-0.613695,-0.997309,0.655411,0.948508,0.673449,0.426185
-19.7588,0.987545,0.170264,4,-0.280309,0.976398,0.192392,-1.21765,-1.82378,0.554594,-0.783203,-0.558513,2.23461
